,0
842,STEAM_0:1:47974953
843,STEAM_0:0:620074555
844,STEAM_0:0:93518304
845,STEAM_0:0:137232624
846,STEAM_0:1:493759530
847,STEAM_0:1:454282770
848,err_10848
849,err_10849
850,STEAM_0:0:237184301
851,STEAM_0:0:65763212
852,STEAM_0:1:449355798
853,STEAM_0:0:627977801
854,STEAM_0:0:127698130
855,STEAM_0:1:569327423
856,STEAM_0:0:767676384
857,STEAM_0:0:691179650
858,STEAM_0:0:767353443
859,STEAM_0:1:158828719
860,STEAM_0:1:526954152
861,STEAM_0:1:577407016
862,STEAM_0:1:223736915
863,STEAM_0:1:544841917
864,STEAM_0:1:51644263
865,STEAM_0:0:219512110
866,STEAM_0:1:567878208
867,STEAM_0:1:149700475
868,STEAM_0:0:219020702
869,STEAM_0:0:34410234
870,STEAM_0:1:638733756
871,STEAM_0:0:506407909
872,STEAM_0:0:238869052
873,STEAM_0:0:426653623
874,STEAM_0:0:694432546
875,STEAM_0:1:213329110
876,STEAM_0:0:448847941
877,STEAM_0:1:739937165
878,STEAM_0:0:508693261
879,STEAM_0:0:603063972
880,STEAM_0:0:620568330
881,err_10881
882,STEAM_0:1:71458024
883,STEAM_0:0:564586006
884,STEAM_0:0:573550977
885,STEAM_0:1:549606424
886,STEAM_0:1:692156380
887,STEAM_0:1:223052597
888,STEAM_0:1:423416511
889,STEAM_0:1:97842000
890,STEAM_0:1:168542452
891,STEAM_0:1:613454724
892,STEAM_0:1:7515341
893,STEAM_0:0:227869099
894,STEAM_0:0:450022860
895,STEAM_0:0:187123610
896,STEAM_0:1:575797505
897,STEAM_0:0:229920352
898,STEAM_0:0:525770902
899,STEAM_0:1:729869085
900,STEAM_0:1:723334200
901,STEAM_0:1:612549238
902,STEAM_0:1:418179560
903,STEAM_0:0:706256384
904,STEAM_0:1:612832989
905,STEAM_0:1:222533144
906,STEAM_0:1:579157757
907,STEAM_0:1:728643431
908,STEAM_0:1:768575520
909,STEAM_0:1:449436219
910,STEAM_0:0:238898111
911,STEAM_0:0:768640147
912,STEAM_0:1:723221670
913,STEAM_0:1:171076528
914,STEAM_0:0:577946087
915,STEAM_0:0:188631561
916,STEAM_0:1:211777727
917,STEAM_0:0:593740486
918,err_10918
919,STEAM_0:1:710983622
920,STEAM_0:0:577669690
921,STEAM_0:1:672970789
922,STEAM_0:0:474660690
923,STEAM_0:0:541568791
924,STEAM_0:1:693765181
925,STEAM_0:1:601327649
926,STEAM_0:0:166561996
927,STEAM_0:0:239410169
928,STEAM_0:0:214529521
929,STEAM_0:1:93752545
930,STEAM_0:0:23703444
931,STEAM_0:0:154436446
932,STEAM_0:1:101239622
933,STEAM_0:1:129155129
934,STEAM_0:0:768915663
935,STEAM_0:1:161541601
936,STEAM_0:1:702949575
937,STEAM_0:0:183386470
938,STEAM_0:0:506169055
939,STEAM_0:0:85895408
940,STEAM_0:1:193278871
941,STEAM_0:0:575204127
942,STEAM_0:0:451986051
943,STEAM_0:0:462065433
944,STEAM_0:1:199753217
945,STEAM_0:1:506056314
